Weekend,this_weekend,last_weekend,Title,Studio,Weekend Gross,pct_change,Theater Count,Change,Average,Total Gross,budget_mills,week_number
2019-08-30,80,88,Free Trip to Egypt,INDEP,1784,3.23,2,1,892,35357.00,-,14
2019-08-30,14,17,Toy Story 4,BV,2382830,0.94,"2,715","1,895",878,429728729.00,-,11
2019-08-30,35,29,Crawl,Par.,101084,-0.24,116,-27,871,38971406.00,13.5,8
2019-08-30,63,65,The Other Side of Heaven 2: Fire of Faith,AAE,14750,0.67,17,1,868,1690179.00,-,10
2019-08-30,86,84,Union (2019),Indic.,857,-0.37,1,-1,857,18704.00,-,5
2019-08-30,61,52,Toni Morrison: The Pieces I Am,Magn.,15373,-0.53,18,-26,854,848317.00,-,11
2019-08-30,87,74,Genese,FM,817,-0.68,1,-,817,4962.00,-,2
2019-08-30,60,50,The Death and Life of John F. Donovan,EOne,19529,-0.41,24,-1,814,81890.00,-,2
2019-08-30,34,28,Maiden,SPC,144892,0.03,180,27,805,2760504.00,-,10
2019-08-30,88,86,Last Year at Marienbad (2019 re-release),Jan.,800,0.04,1,-,800,60884.00,-,16
2019-08-30,66,58,Cold Case Hammarskjöld,Magn.,11456,-0.28,15,-,764,66789.00,-,3
2019-08-30,55,44,David Crosby: Remember My Name,SPC,35255,-0.16,47,-,750,513587.00,-,7
2019-08-30,18,14,Blinded By the Light,WB,1215303,-0.39,"1,673",-634,726,10202476.00,-,3
2019-08-30,23,16,"Where'd You Go, Bernadette",UAR,657607,-0.54,907,"-1,399",725,8154661.00,-,3
2019-08-30,42,37,Men in Black International,Sony,65538,0.17,91,-9,720,79729445.00,110,12
2019-08-30,78,79,A Brother's Love,EOne,2159,0.27,3,-1,720,519111.00,-,13
2019-08-30,74,73,Under the Sea 3D,WB,3307,0.22,5,-,661,36175687.00,-,551
2019-08-30,40,38,Avengers: Endgame,BV,70775,0.41,110,-5,643,858329776.00,356,19
2019-08-30,47,46,The Nightingale (2019),IFC,50597,0.33,79,28,640,326774.00,-,5
2019-08-30,62,59,Echo in the Canyon,Greenwich,14902,0.04,24,4,621,3300743.00,-,15
2019-08-30,44,35,Annabelle Comes Home,WB (NL),61216,-0.01,101,-15,606,72751624.00,-,10
2019-08-30,38,34,John Wick: Chapter 3 - Parabellum,LG/S,83377,0.21,139,10,600,170910250.00,-,16
2019-08-30,73,72,Buñuel in the Labyrinth of the Turtles,GK,3483,0.07,6,4,581,22909.00,-,3
2019-08-30,57,56,Marianne & Leonard: Words of Love,RAtt.,31799,0.7,55,12,578,922353.00,-,9
